


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

  167 0.2291E-03 0.1751E-06
  168 0.1856E-03 0.1740E-06
  169 0.1861E-03 0.1729E-06
  170 0.2006E-03 0.1719E-06
  171 0.2101E-03 0.1707E-06
  172 0.2130E-03 0.1698E-06
  173 0.2073E-03 0.1686E-06
  174 0.1921E-03 0.1678E-06
  175 0.1685E-03 0.1665E-06
  176 0.1397E-03 0.1658E-06
  177 0.1281E-03 0.1645E-06
  178 0.1408E-03 0.1639E-06
  179 0.1497E-03 0.1625E-06
  180 0.1538E-03 0.1620E-06
  181 0.1521E-03 0.1606E-06
  182 0.1435E-03 0.1602E-06
  183 0.1287E-03 0.1587E-06
  184 0.1093E-03 0.1584E-06
  185 0.8813E-04 0.1569E-06
  186 0.9601E-04 0.1566E-06
  187 0.1035E-03 0.1551E-06
  188 0.1079E-03 0.1549E-06
  189 0.1086E-03 0.1534E-06
  190 0.1045E-03 0.1532E-06
  191 0.9558E-04 0.1516E-06
  192 0.8251E-04 0.1516E-06
  193 0.6713E-04 0.1500E-06
  194 0.6322E-04 0.1500E-06
  195 0.6877E-04 0.1484E-06
  196 0.7236E-04 0.1484E-06
  197 0.7306E-04 0.1469E-06
  198 0.7003E-04 0.1469E-06
  199 0.6300E-04 0.1454E-06
  200 0.5494E-04 0.1453E-06
  201 0.5442E-04 0.1440E-06
  202 0.5309E-04 0.1439E-06
  203 0.5217E-04 0.1426E-06
  204 0.5125E-04 0.1424E-06
  205 0.4998E-04 0.1412E-06
  206 0.4942E-04 0.1410E-06
  207 0.4802E-04 0.1399E-06
  208 0.4762E-04 0.1396E-06
  209 0.4659E-04 0.1385E-06
  210 0.4584E-04 0.1382E-06
  211 0.4516E-04 0.1372E-06
  212 0.4411E-04 0.1369E-06
  213 0.4373E-04 0.1359E-06
  214 0.4259E-04 0.1356E-06
  215 0.4231E-04 0.1347E-06
  216 0.4149E-04 0.1343E-06
  217 0.4091E-04 0.1334E-06
  218 0.4037E-04 0.1330E-06
  219 0.3954E-04 0.1322E-06
  220 0.3926E-04 0.1317E-06
  221 0.3830E-04 0.1310E-06
  222 0.3814E-04 0.1305E-06
  223 0.3745E-04 0.1299E-06
  224 0.3704E-04 0.1293E-06
  225 0.3658E-04 0.1287E-06
  226 0.3594E-04 0.1281E-06
  227 0.3571E-04 0.1276E-06
  228 0.3487E-04 0.1270E-06
  229 0.3484E-04 0.1265E-06
  230 0.3422E-04 0.1258E-06
  231 0.3396E-04 0.1254E-06
  232 0.3355E-04 0.1247E-06
  233 0.3309E-04 0.1243E-06
  234 0.3287E-04 0.1236E-06
  235 0.3222E-04 0.1232E-06
  236 0.3218E-04 0.1225E-06
  237 0.3165E-04 0.1222E-06
  238 0.3148E-04 0.1215E-06
  239 0.3136E-04 0.1212E-06
  240 0.3113E-04 0.1205E-06
  241 0.3107E-04 0.1202E-06
  242 0.3084E-04 0.1195E-06
  243 0.3079E-04 0.1192E-06
  244 0.3057E-04 0.1185E-06
  245 0.3051E-04 0.1182E-06
  246 0.3030E-04 0.1176E-06
  247 0.3023E-04 0.1172E-06
  248 0.3004E-04 0.1166E-06
  249 0.2997E-04 0.1163E-06
  250 0.2978E-04 0.1157E-06
  251 0.2970E-04 0.1154E-06
  252 0.2953E-04 0.1148E-06
  253 0.2944E-04 0.1144E-06
  254 0.2928E-04 0.1139E-06
  255 0.2918E-04 0.1135E-06
  256 0.2903E-04 0.1130E-06
  257 0.2893E-04 0.1127E-06
  258 0.2879E-04 0.1121E-06
  259 0.2868E-04 0.1118E-06
  260 0.2855E-04 0.1113E-06
  261 0.2844E-04 0.1109E-06
  262 0.2831E-04 0.1104E-06
  263 0.2819E-04 0.1101E-06
  264 0.2808E-04 0.1096E-06
  265 0.2796E-04 0.1092E-06
  266 0.2785E-04 0.1087E-06
  267 0.2772E-04 0.1084E-06
  268 0.2763E-04 0.1079E-06
  269 0.2749E-04 0.1076E-06
  270 0.2740E-04 0.1071E-06
  271 0.2726E-04 0.1068E-06
  272 0.2718E-04 0.1063E-06
  273 0.2704E-04 0.1060E-06
  274 0.2697E-04 0.1055E-06
  275 0.2683E-04 0.1052E-06
  276 0.2675E-04 0.1048E-06
  277 0.2662E-04 0.1044E-06
  278 0.2654E-04 0.1040E-06
  279 0.2641E-04 0.1037E-06
  280 0.2634E-04 0.1033E-06
